Date,Bill of Lading,Location,Customer,Product,Volume
,,,,,
GERALDTON 3PL TOTAL,,,,,
04.06.2025,8148298842,AU TERM GERALDTON,MT MAGNET GOLD - HILL 50,ULSD 10PPM,-745
04.06.2025,8148298842,AU TERM GERALDTON,MT MAGNET GOLD - HILL 50,ULSD 10PPM,"25,027"
17.06.2025,349826/827/828,AU TERM GERALDTON,MT MAGNET GOLD - HILL 50,ULSD 10PPM,"-1,240"
17.06.2025,349827/349828,AU TERM GERALDTON,MT MAGNET GOLD CUE GOLD PROJECT,ULSD 10PPM,"-1,660"
17.06.2025,349827/349828,AU TERM GERALDTON,MT MAGNET GOLD CUE GOLD PROJECT,ULSD 10PPM,"-1,863"
17.06.2025,349826/827/828,AU TERM GERALDTON,MT MAGNET GOLD - HILL 50,ULSD 10PPM,"41,696"
17.06.2025,349827/349828,AU TERM GERALDTON,MT MAGNET GOLD CUE GOLD PROJECT,ULSD 10PPM,"36,897"
17.06.2025,349827/349828,AU TERM GERALDTON,MT MAGNET GOLD CUE GOLD PROJECT,ULSD 10PPM,"41,409"
21.06.2025,8148534565,AU TERM GERALDTON,GREENSTONE RESOURCES VAULT KING OF,ULSD 10PPM,"-2,913"
21.06.2025,8148534565,AU TERM GERALDTON,GREENSTONE RESOURCES VAULT KING OF,ULSD 10PPM,"-3,279"
21.06.2025,8148534565,AU TERM GERALDTON,GREENSTONE RESOURCES VAULT KING OF,ULSD 10PPM,"-2,708"
21.06.2025,8148534565,AU TERM GERALDTON,GREENSTONE RESOURCES VAULT KING OF,ULSD 10PPM,"-1,968"
21.06.2025,8148534565,AU TERM GERALDTON,GREENSTONE RESOURCES VAULT KING OF,ULSD 10PPM,"37,197"
21.06.2025,8148534565,AU TERM GERALDTON,GREENSTONE RESOURCES VAULT KING OF,ULSD 10PPM,"41,877"
21.06.2025,8148534565,AU TERM GERALDTON,GREENSTONE RESOURCES VAULT KING OF,ULSD 10PPM,"34,579"
21.06.2025,8148534565,AU TERM GERALDTON,GREENSTONE RESOURCES VAULT KING OF,ULSD 10PPM,"25,129"
27.06.2025,8148620058,AU TERM GERALDTON,AWR - NARNGULU EAST - A62535,BP ULTIMATE DIESEL,-289
27.06.2025,8148620058,AU TERM GERALDTON,AWR - NARNGULU EAST - A62535,BP ULTIMATE DIESEL,-478
27.06.2025,8148620058,AU TERM GERALDTON,AWR - NARNGULU EAST - A62535,BP ULTIMATE DIESEL,-395
27.06.2025,8148620058,AU TERM GERALDTON,AWR - NARNGULU EAST - A62535,BP ULTIMATE DIESEL,-287
27.06.2025,8148637700,AU TERM GERALDTON,MT MAGNET GOLD CUE GOLD PROJECT,ULSD 10PPM,"-1,876"
27.06.2025,8148637700,AU TERM GERALDTON,MT MAGNET GOLD CUE GOLD PROJECT,ULSD 10PPM,"-1,863"
27.06.2025,8148637816,AU TERM GERALDTON,ARAGON FORTNUM SINGLE,ULSD 10PPM,"-7,191"
27.06.2025,8148620058,AU TERM GERALDTON,AWR - NARNGULU EAST - A62535,BP ULTIMATE DIESEL,"25,297"
27.06.2025,8148620058,AU TERM GERALDTON,AWR - NARNGULU EAST - A62535,BP ULTIMATE DIESEL,"41,878"
27.06.2025,8148620058,AU TERM GERALDTON,AWR - NARNGULU EAST - A62535,BP ULTIMATE DIESEL,"34,579"
27.06.2025,8148620058,AU TERM GERALDTON,AWR - NARNGULU EAST - A62535,BP ULTIMATE DIESEL,"25,131"
27.06.2025,8148637700,AU TERM GERALDTON,MT MAGNET GOLD CUE GOLD PROJECT,ULSD 10PPM,"41,697"
27.06.2025,8148637700,AU TERM GERALDTON,MT MAGNET GOLD CUE GOLD PROJECT,ULSD 10PPM,"41,407"
27.06.2025,8148637816,AU TERM GERALDTON,ARAGON FORTNUM SINGLE,ULSD 10PPM,"36,898"
28.06.2025,8148654792,AU TERM GERALDTON,MT MAGNET GOLD - BLACKCAT MINE,ULSD 10PPM,"-1,064"
28.06.2025,8148654792,AU TERM GERALDTON,MT MAGNET GOLD - BLACKCAT MINE,ULSD 10PPM,-773
28.06.2025,8148649318,AU TERM GERALDTON,BIG BELL GOLD - DAY DAWN,ULSD 10PPM,"-1,145"
28.06.2025,8148649318,AU TERM GERALDTON,BIG BELL GOLD - DAY DAWN,ULSD 10PPM,"-1,289"
