Date,Bill of Lading,Location,Customer,Product,Volume
,,,,,
GERALDTON 3PL TOTAL,,,,,
21.05.2025,8148095304,AU TERM GERALDTON,MT MAGNET GOLD CUE GOLD PROJECT,ULSD 10PPM,"1,867"
21.05.2025,8148095304,AU TERM GERALDTON,MT MAGNET GOLD CUE GOLD PROJECT,ULSD 10PPM,"1,867"
22.05.2025,8147990027,AU TERM GERALDTON,NSR - JUNDEE SURFACE EX GER,ULSD 10PPM,"2,001"
22.05.2025,8147990027,AU TERM GERALDTON,NSR - JUNDEE SURFACE EX GER,ULSD 10PPM,"1,157"
22.05.2025,8147990027,AU TERM GERALDTON,NSR - JUNDEE SURFACE EX GER,ULSD 10PPM,"2,414"
22.05.2025,8147990027,AU TERM GERALDTON,NSR - JUNDEE SURFACE EX GER,ULSD 10PPM,"2,414"
22.05.2025,8148110517,AU TERM GERALDTON,AGNEW NEW HOLLAND,ULSD 10PPM,"1,071"
22.05.2025,8148110519,AU TERM GERALDTON,AGNEW GATEHOUSE,ULSD 10PPM,845
22.05.2025,8148110139,AU TERM GERALDTON,AGNEW WAROONGA,ULSD 10PPM,"2,155"
22.05.2025,8148110139,AU TERM GERALDTON,AGNEW WAROONGA,ULSD 10PPM,"2,161"
22.05.2025,8148118226,AU TERM GERALDTON,AGNEW NEW HOLLAND,ULSD 10PPM,"1,201"
24.05.2025,8148100968,AU TERM GERALDTON,BIG BELL GOLD - DAY DAWN,ULSD 10PPM,-985
24.05.2025,8148100968,AU TERM GERALDTON,BIG BELL GOLD - DAY DAWN,ULSD 10PPM,"-1,277"
24.05.2025,8148100968,AU TERM GERALDTON,BIG BELL GOLD - DAY DAWN,ULSD 10PPM,"31,999"
24.05.2025,8148100968,AU TERM GERALDTON,BIG BELL GOLD - DAY DAWN,ULSD 10PPM,"41,497"
27.05.2025,8148155954,AU TERM GERALDTON,NSR - RAMONE MINE SITE EX GERALD,ULSD 10PPM,"-41,700"
27.05.2025,8148155954,AU TERM GERALDTON,NSR - RAMONE MINE SITE EX GERALD,ULSD 10PPM,"-41,697"
27.05.2025,8148155954,AU TERM GERALDTON,NSR - RAMONE MINE SITE EX GERALD,ULSD 10PPM,"2,823"
27.05.2025,8148155954,AU TERM GERALDTON,NSR - RAMONE MINE SITE EX GERALD,ULSD 10PPM,"2,823"
27.05.2025,8148155952,AU TERM GERALDTON,NSR - JUNDEE SURFACE EX GER,ULSD 10PPM,"-34,558"
27.05.2025,8148155952,AU TERM GERALDTON,NSR - JUNDEE SURFACE EX GER,ULSD 10PPM,"-18,989"
27.05.2025,8148155954,AU TERM GERALDTON,NSR - RAMONE MINE SITE EX GERALD,ULSD 10PPM,"-2,823"
27.05.2025,349642,AU TERM GERALDTON,NSR - JUNDEE SURFACE EX GER,ULSD 10PPM,"-2,414"
27.05.2025,349609/349610,AU TERM GERALDTON,NSR - RAMONE MINE SITE EX GERALD,ULSD 10PPM,"-2,340"
27.05.2025,349609/349610,AU TERM GERALDTON,NSR - RAMONE MINE SITE EX GERALD,ULSD 10PPM,"-1,286"
27.05.2025,8148155954,AU TERM GERALDTON,NSR - RAMONE MINE SITE EX GERALD,ULSD 10PPM,"41,700"
27.05.2025,349642,AU TERM GERALDTON,NSR - JUNDEE SURFACE EX GER,ULSD 10PPM,"41,697"
27.05.2025,349609/349610,AU TERM GERALDTON,NSR - RAMONE MINE SITE EX GERALD,ULSD 10PPM,"34,558"
27.05.2025,349609/349610,AU TERM GERALDTON,NSR - RAMONE MINE SITE EX GERALD,ULSD 10PPM,"18,989"
28.05.2025,8148193755,AU TERM GERALDTON,MT MAGNET GOLD CUE GOLD PROJECT,ULSD 10PPM,"-41,696"
28.05.2025,8148193755,AU TERM GERALDTON,MT MAGNET GOLD CUE GOLD PROJECT,ULSD 10PPM,"-41,408"
28.05.2025,8148193755,AU TERM GERALDTON,MT MAGNET GOLD CUE GOLD PROJECT,ULSD 10PPM,"1,876"
28.05.2025,8148193755,AU TERM GERALDTON,MT MAGNET GOLD CUE GOLD PROJECT,ULSD 10PPM,"1,863"
28.05.2025,8148193755,AU TERM GERALDTON,MT MAGNET GOLD CUE GOLD PROJECT,ULSD 10PPM,"-1,876"
28.05.2025,349652,AU TERM GERALDTON,ARAGON - FORTNUM GOLD PROJECT,ULSD 10PPM,"-2,209"
