ESPERANCE,,,,,,
Date,Bill of Lading,Location,Customer,Product,Volume,
21.07.2025,8148947288,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"-2,659",
21.07.2025,8148947288,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"-2,901",
21.07.2025,8148922562,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"-2,688",
21.07.2025,8148922562,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"-2,904",
21.07.2025,8148947288,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"43,760",
21.07.2025,8148947288,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"47,740",
21.07.2025,8148922562,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"44,231",
21.07.2025,8148922562,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"47,781",
22.07.2025,8148938647,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"-2,659",
22.07.2025,8148938647,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"-2,901",
22.07.2025,8148938649,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"-2,688",
22.07.2025,8148938649,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"-2,904",
22.07.2025,8148938647,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"43,761",
22.07.2025,8148938647,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"47,741",
22.07.2025,8148938649,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"44,231",
22.07.2025,8148938649,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"47,779",
23.07.2025,8148948862,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"-1,241",
23.07.2025,8148948862,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"-2,640",
23.07.2025,8148948862,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"-2,909",
23.07.2025,8148948862,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"20,429",
23.07.2025,8148948862,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"43,449",
23.07.2025,8148948862,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"47,871",
28.07.2025,8149029095,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"-2,659",
28.07.2025,8149029095,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"-2,901",
28.07.2025,8149028036,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"-2,688",
28.07.2025,8149028036,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"-2,904",
28.07.2025,8149029095,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"43,762",
28.07.2025,8149029095,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"47,742",
28.07.2025,8149028036,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"44,229",
28.07.2025,8149028036,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"47,781",
29.07.2025,8149029008,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"-2,688",
29.07.2025,8149029008,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"-2,904",
29.07.2025,8149026327,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"-2,645",
29.07.2025,8149026327,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"-2,909",
29.07.2025,8149026327,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"-1,241",
29.07.2025,8149029006,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"-2,659",
29.07.2025,8149029006,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"-2,901",
29.07.2025,8149029008,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"44,232",
29.07.2025,8149029008,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"47,780",
29.07.2025,8149026327,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"43,530",
29.07.2025,8149026327,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"47,871",
29.07.2025,8149026327,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"20,429",
29.07.2025,8149029006,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"43,759",
29.07.2025,8149029006,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"47,740",
31.07.2025,8149029601,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"-2,659",
31.07.2025,8149029601,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"-2,901",
31.07.2025,8149029602,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"-2,688",
31.07.2025,8149029602,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"-2,904",
31.07.2025,8149029603,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"-2,645",
31.07.2025,8149029603,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"-2,909",
31.07.2025,8149029603,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"-1,242",
31.07.2025,8149029601,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"43,762",
31.07.2025,8149029601,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"47,741",
31.07.2025,8149029602,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"44,230",
31.07.2025,8149029602,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"47,781",
31.07.2025,8149029603,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"43,531",
31.07.2025,8149029603,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"47,869",
31.07.2025,8149029603,AU TERM ESPERANCE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"20,430",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,ESPERANCE 3PL TOTAL,,,"1,176,829",
,,,,,,
KALGOORLIE,,,,,,
Date,Bill of Lading,Location,Customer,Product,Volume,
30.06.2025,8148634125,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-281,
30.06.2025,8148634125,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-304,
30.06.2025,8148634126,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-281,
30.06.2025,8148634126,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-304,
30.06.2025,8148634005,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-281,
30.06.2025,8148634005,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-304,
30.06.2025,8148634541,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-273,
30.06.2025,8148634541,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-242,
01.07.2025,8148634632,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-290,
01.07.2025,8148634632,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-314,
01.07.2025,8148634543,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-290,
01.07.2025,8148634543,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-314,
02.07.2025,8148634781,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-282,
02.07.2025,8148634781,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-250,
02.07.2025,8148601475,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-282,
02.07.2025,8148601475,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-250,
