delivery_date,bill_of_lading,terminal,customer,product,volume_litres,carrier
04/02/24,8142362567,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-47872.00,SMB
06/12/24,8143330063,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,-47869.00,SMB
01/02/25,8146154463,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,-47780.00,SMB
01/07/24,8141319261,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,-47778.00,SMB
09/04/24,8144523231,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,-47744.00,SMB
12/12/24,8145877542,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,-47739.00,SMB
12/12/24,8145877542,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,-47739.00,SMB
04/02/24,8142362567,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,-44482.00,SMB
06/12/24,8143330063,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,-44480.00,SMB
01/02/25,8146154463,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,-44229.00,SMB
01/07/24,8141319261,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,-44225.00,SMB
09/04/24,8144523231,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,-43758.00,SMB
12/12/24,8145877542,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,-43755.00,SMB
12/12/24,8145877542,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,-43755.00,SMB
02/15/24,8141824610,AU THDPTY COOGEE ROCKINGHAM,AWR - PICTON TRIP SERVICE - A25718,BP ULTIMATE DIESEL,-43015.00,SMB
06/19/24,8143506758,AU THDPTY COOGEE ROCKINGHAM,SOUTH32 BBM MARRADONG SADDLEBACK,ULSD 10PPM,-43012.00,SMB
08/25/24,8144440160,AU THDPTY COOGEE ROCKINGHAM,SOUTH32 BBM SADDLEBACK FULL,ULSD 10PPM,-43009.00,SMB
01/31/24,8141627925,AU THDPTY COOGEE ROCKINGHAM,SOUTH32 BBM SADDLEBACK FULL,ULSD 10PPM,-43008.00,SMB
07/01/24,8143614836,AU TERM KEWDALE,SOUTH32 BBM SADDLEBACK FULL,ULSD 10PPM,-43004.00,SMB
03/20/24,8142267631,AU TERM KEWDALE,SOUTH32 BBM SADDLEBACK FULL,ULSD 10PPM,-42999.00,SMB
06/28/24,8143624024,AU TERM KEWDALE,SOUTH32 BBM SADDLEBACK FULL,ULSD 10PPM,-42999.00,SMB
04/08/25,8147397216,AU TERM KEWDALE,SOUTH32 BBM MARRADONG SADDLEBACK,ULSD 10PPM,-42998.00,SMB
03/20/24,8142264708,AU TERM KEWDALE,PIACENTINI - MYARA,ULSD 10PPM,-42997.00,SMB
05/11/24,8142961215,AU TERM KEWDALE,BGC HAZELMERE,ULSD 10PPM,-42996.00,SMB
04/23/24,8142687498,AU TERM KEWDALE,SOUTH32 BBM MARRADONG SADDLEBACK,ULSD 10PPM,-42995.00,SMB
08/26/24,8144434442,AU THDPTY COOGEE ROCKINGHAM,SOUTH32 BBM SADDLEBACK FULL,ULSD 10PPM,-42993.00,SMB
11/28/24,8145749043,AU THDPTY COOGEE ROCKINGHAM,PIACENTINI - TIWEST PROJECT CATABY,ULSD 10PPM,-42958.00,SMB
01/11/24,8141388521,AU TERM KEWDALE,SOUTH32 BBM SADDLEBACK FULL,ULSD 10PPM,-42819.00,SMB
10/22/24,8145170719,AU TERM KEWDALE,TALISON LITHIUM MSA,BP ULTIMATE DIESEL,-42816.00,SMB
09/16/24,JAMES MYNARD,AU TERM KEWDALE,BP CARNARVON,ULSD 10PPM,-40779.00,SMB
02/17/25,JAMES MYNARD,AU TERM KEWDALE,BP CARNARVON,ULSD 10PPM,-40778.00,SMB
11/11/24,JAMES MYNARD,AU TERM KEWDALE,BP CARNARVON,ULSD 10PPM,-40686.00,SMB
02/24/25,MICHAEL LAWRENCE,AU TERM KEWDALE,BP CARNARVON,ULSD 10PPM,-40606.00,SMB
06/12/24,8143393302,AU TERM KEWDALE,SILVERLAKE ROTHSAY EX KEWDALE,ULSD 10PPM,-40603.00,SMB
04/26/24,8142723127,AU TERM KEWDALE,Piacentini Tiwest Project Cataby,ULSD 10PPM,-40601.00,SMB
01/13/25,MICHAEL LAWRENCE,AU TERM KEWDALE,BP CARNARVON,ULSD 10PPM,-40599.00,SMB
01/10/24,8141313593,AU TERM KEWDALE,KCGM FIMISTON EX KEWDALE,ULSD 10PPM,-40533.00,SMB
06/03/25,8148265676,AU TERM KEWDALE,SILVER LAKE (ROTHSAY) VAULT,ULSD 10PPM,-39847.00,SMB
12/22/24,8146079644,AU TERM KEWDALE,KARARA MINING LIMITED MINE SITE,BP ULTIMATE DIESEL,-39846.00,SMB
11/18/24,8145608970,AU TERM KEWDALE,PIACENTINI - MYARA,ULSD 10PPM,-39521.00,SMB
11/21/24,8145671091,AU THDPTY COOGEE ROCKINGHAM,PIACENTINI - MYARA,ULSD 10PPM,-39445.00,SMB
05/19/25,65972768,AU THDPTY COOGEE ROCKINGHAM,AU AIRPT JANDAKOT,AVGAS LOW LEAD,-39247.00,SMB
