event_id,vehicle_id,vehicle,driver,detection_time,utc_offset,event_type,detected_event_type,duration_seconds,speed_kph,travel_metres,latitude,longitude,audio_alert,vibration_alert,trip_distance_metres,trip_time_seconds,confirmation,confirmation_time,classification,fleet,timezone,account,service_provider,shift,crew,guardian_unit,software_version,labels
2423460858,40131,1EXV411,,3/31/2024,480,distraction,distraction,4.5,99,123,-30.1228,121.1516,yes,no,94529,4973,normal driving,3/31/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1001229-S00007647,1.4.7.493490,
2423465291,40131,1EXV411,,3/31/2024,480,distraction,distraction,4.6,91,116,-28.6875,121.2326,yes,no,275243,13343,normal driving,3/31/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1001229-S00007647,1.4.7.493490,
2423469027,146595,323341,,3/31/2024,480,distraction,distraction,4.8,95,127,-34.3802,118.7477,yes,no,100180,8267,normal driving,3/31/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00011904,1.4.6.487803,
2423479066,40131,1EXV411,,3/31/2024,480,distraction,distraction,4.5,51,63,-26.56,120.8292,yes,no,628792,30630,verified,3/31/2024,distracted driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1001229-S00007647,1.4.7.493490,
2423480542,40131,1EXV411,,3/31/2024,480,distraction,distraction,5.3,82,121,-26.482,120.4412,yes,no,686482,47554,normal driving,3/31/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1001229-S00007647,1.4.7.493490,
2423492657,59456,1HCR815,,4/1/2024,480,distraction,distraction,4.6,46,58,-31.9823,115.973,yes,no,5439,965,normal driving,4/1/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00002622,1.4.7.493490,
2423500505,40131,1EXV411,,4/1/2024,480,distraction,distraction,4.1,98,112,-28.3062,121.1474,yes,no,58856,2771,normal driving,4/1/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1001229-S00007647,1.4.7.493490,
2423501748,11714,1GFN535,,4/1/2024,480,distraction,distraction,4.1,87,98,-32.4032,116.2744,yes,no,69278,5231,normal driving,4/1/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00010741,1.4.7.493490,
2423505436,59854,1GAQ157,,4/1/2024,480,distraction,distraction,7,46,90,-29.0956,115.1685,yes,no,71287,3263,normal driving,4/1/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1001229-S00005292,1.4.7.493490,
2423508290,16924,1EJF777,,4/1/2024,480,distraction,distraction,4.6,40,51,-31.2881,118.7023,yes,no,65989,13768,normal driving,4/1/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00011771,1.4.6.487803,
2423510118,16924,1EJF777,,4/1/2024,480,distraction,distraction,4.5,48,59,-31.4878,118.2353,yes,no,127685,16716,verified,4/1/2024,distracted driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00011771,1.4.6.487803,
2423516924,149313,204811,,4/1/2024,480,distraction,distraction,4.2,60,70,-21.5856,118.8186,yes,no,178674,13385,normal driving,4/1/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00011922,1.4.6.487803,
2423526181,112335,1HUT976,,4/1/2024,480,distraction,distraction,4.3,94,111,-27.969,120.2701,yes,no,146214,32561,normal driving,4/1/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00011083,1.4.7.493490,
2423526837,29872,1GDJ946,,4/1/2024,480,distraction,distraction,8.4,45,106,-32.0108,115.9966,yes,no,6101,718,normal driving,4/1/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00010824,1.4.7.493490,
2423533346,131067,1HXX939,,4/1/2024,480,distraction,distraction,4.9,48,65,-28.7971,114.6799,yes,no,9439,982,normal driving,4/1/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00011943,1.4.7.493490,
2423536102,29328,1EXV409,,4/1/2024,480,distraction,fatigue,1.9,54,28,-32.9609,116.8002,yes,yes,150379,8109,verified,4/1/2024,cell phone use,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00010794,1.4.7.493490,
2423552839,119888,1HHJ911,,4/2/2024,480,distraction,distraction,6.3,47,82,-31.9816,115.9783,yes,no,4813,752,normal driving,4/2/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00011911,1.4.7.493490,
2423552546,11282,1ETO041,,4/2/2024,480,distraction,distraction,4.2,86,99,-31.3444,116.1401,yes,no,84492,3737,normal driving,4/2/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00010891,1.4.7.493490,
2423562339,59854,1GAQ157,,4/2/2024,480,distraction,distraction,6.7,41,77,-28.7772,114.6457,yes,no,6063,540,normal driving,4/2/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1001229-S00005292,1.4.7.493490,
2423566088,29730,1EXM998,,4/2/2024,480,distraction,distraction,5,45,62,-30.1293,116.3376,yes,no,99785,8206,normal driving,4/2/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00011118,1.4.7.493490,
