event_id,vehicle_id,vehicle,driver,detection_time,utc_offset,event_type,detected_event_type,duration_seconds,speed_kph,travel_metres,latitude,longitude,audio_alert,vibration_alert,trip_distance_metres,trip_time_seconds,confirmation,confirmation_time,classification,fleet,timezone,account,service_provider,shift,crew,guardian_unit,software_version,labels,,,
2423468311,112335,1HUT976,,3/31/2024,480,fatigue,fatigue,1.5,77,32,-28.557,115.4808,yes,yes,95843,6366,normal driving,3/31/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00011083,1.4.7.493490,,,,
2423468439,112335,1HUT976,,3/31/2024,480,fatigue,fatigue,1.7,69,32,-28.5403,115.5248,yes,yes,100873,6701,normal driving,3/31/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00011083,1.4.7.493490,,,,
2423470875,29872,1GDJ946,,3/31/2024,480,fatigue,fatigue,1.6,97,43,-32.4994,115.7845,yes,yes,106712,4355,normal driving,3/31/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00010824,1.4.7.493490,,,,
2423506229,14802,1GNQ950,,4/1/2024,480,fatigue,fatigue,1.9,97,52,-28.3956,116.2755,yes,yes,187371,9121,normal driving,4/1/2024,yawning,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00011947,1.4.6.487803,,,,
2423508383,38218,1CKR093,,4/1/2024,480,fatigue,fatigue,1.6,98,45,-33.7363,115.9261,yes,yes,19055,931,normal driving,4/1/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00010744,1.4.6.487803,,,,
2423519564,112335,1HUT976,,4/1/2024,480,fatigue,fatigue,1.8,90,45,-27.5512,120.5281,yes,yes,52188,26396,normal driving,4/1/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00011083,1.4.7.493490,,,,
2423526834,38218,1CKR093,,4/1/2024,480,fatigue,fatigue,2,92,50,-33.7321,115.9124,yes,yes,20971,1080,normal driving,4/1/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00010744,1.4.6.487803,,,,
2423559293,59456,1HCR815,,4/2/2024,480,fatigue,fatigue,2.1,100,57,-31.3704,118.6077,yes,yes,293582,11388,normal driving,4/2/2024,yawning,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00002622,1.4.7.493490,,,,
2423562792,40131,1EXV411,,4/2/2024,480,fatigue,fatigue,1.7,73,34,-29.7406,121.0542,yes,yes,139321,7025,normal driving,4/2/2024,yawning,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1001229-S00007647,1.4.7.493490,,,,
2423571063,101697,1HSO643,,4/2/2024,480,fatigue,fatigue,2,,,,,yes,yes,0,4167,normal driving,4/2/2024,system error,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00011115,1.4.7.493490,,,,
2423571258,101697,1HSO643,,4/2/2024,480,fatigue,fatigue,1.6,,,,,yes,yes,0,4355,normal driving,4/2/2024,system error,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00011115,1.4.7.493490,,,,
2423571285,101697,1HSO643,,4/2/2024,480,fatigue,fatigue,1.6,,,,,yes,yes,0,4375,normal driving,4/2/2024,system error,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00011115,1.4.7.493490,,,,
2423571294,101697,1HSO643,,4/2/2024,480,fatigue,fatigue,2.1,,,,,yes,yes,0,4381,normal driving,4/2/2024,system error,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00011115,1.4.7.493490,,,,
2423571310,101697,1HSO643,,4/2/2024,480,fatigue,fatigue,9.1,,,,,yes,yes,0,4386,normal driving,4/2/2024,system error,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00011115,1.4.7.493490,,,,
2423571323,101697,1HSO643,,4/2/2024,480,fatigue,fatigue,1.7,,,,,yes,yes,0,4400,normal driving,4/2/2024,system error,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00011115,1.4.7.493490,,,,
2423571326,101697,1HSO643,,4/2/2024,480,fatigue,fatigue,2.3,,,,,yes,yes,0,4403,normal driving,4/2/2024,system error,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00011115,1.4.7.493490,,,,
2423572321,101697,1HSO643,,4/2/2024,480,fatigue,fatigue,2.2,,,,,yes,yes,0,5245,normal driving,4/2/2024,system error,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00011115,1.4.7.493490,,,,
2423573047,101697,1HSO643,,4/2/2024,480,fatigue,fatigue,4,,,,,yes,yes,0,5997,normal driving,4/2/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00011115,1.4.7.493490,,,,
2423573845,94555,1CYD754,,4/2/2024,480,fatigue,fatigue,1.6,28,12,-32.9299,117.1774,yes,yes,125,54,normal driving,4/2/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00009052,1.4.6.487803,,,,
2423574441,131067,1HXX939,,4/2/2024,480,fatigue,fatigue,1.5,91,39,-28.7148,114.9369,yes,yes,27618,3105,normal driving,4/2/2024,acceptable driving,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00011943,1.4.7.493490,,,,
2423578900,115381,1GLD510,,4/2/2024,480,fatigue,fatigue,1.6,,,,,yes,yes,0,50,normal driving,4/2/2024,system error,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00008624,1.4.7.493490,,,,
2423582621,101697,1HSO643,,4/2/2024,480,fatigue,fatigue,2.6,,,,,yes,yes,0,34,normal driving,4/2/2024,system error,(CS) Stevemacs Bulk Fuel Haulage,Australia/Perth,(CS) Stevemacs Bulk Fuel Haulage,Connect Source || (CS),,,P1002260-S00011115,1.4.7.493490,,,,
