event_id,vehicle,detection_time,event_type,detected_event_type,eventDetectionType,confirmationState,classification,confirmation,fleet,guardian_unit
2402565655,1HKM376,6/2/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00002698
2402632099,1HKM376,6/3/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00002698
2402766465,1EZR895,6/6/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00010798
2402897916,1HKM376,6/7/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00002698
2402928357,1GNQ950,6/7/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P04025-S00013423
2402928364,1GNQ950,6/7/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P04025-S00013423
2402959814,1CZD562,6/8/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00010668
2402937487,1HKM376,6/8/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00002698
2402929406,1EZR895,6/8/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00010798
2403077078,QUADADDIC,6/9/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P04025-S00010474
2403016415,MD8410,6/9/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00011129
2403080423,1EZR895,6/10/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00010798
2403263518,1HKM376,6/13/2023,fatigue,distraction,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00002698
2403322563,1HKM376,6/14/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00002698
2403318534,1HKM376,6/14/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00002698
2403318546,1HKM376,6/14/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00002698
2403391991,1CZD562,6/15/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00010668
2403461400,1EMK901,6/16/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00010790
2403617118,1CKR094,6/19/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00010795
2403609501,1ETO041,6/19/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00010891
2403680584,1CZD562,6/20/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00010668
2403840968,1HQO889,6/22/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00013780
2403841008,1HQO889,6/22/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00013780
2403935295,1HKM376,6/23/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00002698
2403931387,1HKM376,6/23/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00002698
2404074737,1CKR094,6/26/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00010795
2404074442,1CKR094,6/26/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00010795
2404149784,MD8410,6/27/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00011129
2404149777,MD8410,6/27/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00011129
2404149542,MD8410,6/27/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00011129
2404149369,MD8410,6/27/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00011129
2404147117,1CZD562,6/27/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00010668
2404139826,1CZD562,6/27/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00010668
2404520533,NR9922,7/3/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P04025-S00010942
2404516226,1EZR895,7/3/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00010798
2404516122,1EZR895,7/3/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00010798
2404515750,1EZR895,7/3/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00010798
2404514351,1EZR895,7/3/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00010798
2404598648,1HOO182,7/4/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00014241
2404578971,1HKM376,7/4/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00002698
2404723833,1CZD562,7/6/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00010668
2404723549,1CZD562,7/6/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00010668
2404722775,1DVN300,7/6/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00010821
2404722705,1DVN300,7/6/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00010821
2404722689,1DVN300,7/6/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00010821
2404722667,1DVN300,7/6/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00010821
2404712448,1HKM376,7/6/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00002698
2404709804,1EMK901,7/6/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00010790
2404790234,1EZR895,7/7/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00010798
2404971457,1EZR895,7/10/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00010798
2404970567,1HKM377,7/10/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00002627
2404936843,1EZR895,7/10/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00010798
2405121914,1HKM376,7/12/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00002698
2405121919,1GNQ950,7/12/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P04025-S00013423
2405121936,1HKM376,7/12/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00002698
2405121207,1GNQ950,7/12/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P04025-S00013423
2405115264,1EEO065,7/12/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P04025-S00014032
2405181128,1HKM376,7/13/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00002698
2405179268,1HKM376,7/13/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00002698
2405246098,1HKM376,7/14/2023,fatigue,distraction,distraction,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00002698
2405355950,1HKM376,7/16/2023,fatigue,distraction,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00002698
2405353705,1HKM376,7/16/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00002698
2405426015,1EZR895,7/17/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00010798
2405506394,1HKM377,7/18/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00002627
2405489989,NR9922,7/18/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P04025-S00010942
2405580552,1HKM376,7/19/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00002698
2405554743,1HKM376,7/19/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00002698
2405859135,1CKR093,7/24/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00010744
2405858743,1CKR093,7/24/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00010744
2405975578,1HKM376,7/25/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00002698
2405974961,1HKM376,7/25/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00002698
2406034634,1GNQ950,7/26/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P04025-S00013423
2406119184,1CKC133,7/27/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P04025-S00010367
2406118550,1CKC133,7/27/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P04025-S00010367
2406114276,1CKC133,7/27/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P04025-S00010367
2406160787,NR9922,7/27/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P04025-S00010942
2406160778,NR9922,7/27/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P04025-S00010942
2406369778,1HKM376,7/31/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00002698
2406363484,1CVU378,7/31/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00010796
2406363626,1CVU378,7/31/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00010796
2406363713,1CVU378,7/31/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00010796
2406339902,1CZD562,7/31/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00010668
2406339911,1CZD562,7/31/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00010668
2406438848,CGG5600,8/1/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00011798
2406438835,CGG5600,8/1/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00011798
2406527024,1HKM376,8/2/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00002698
2406572561,1EZR895,8/3/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00010798
2406804927,1HLK502,8/7/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00001816
2406804819,1HLK502,8/7/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00001816
2406922029,1HKM376,8/8/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00002698
2406963610,1EZR895,8/9/2023,fatigue,fatigue,distraction,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00010798
2407041246,1EZR895,8/10/2023,fatigue,fatigue,distraction,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00010798
2407364745,1EZR895,8/15/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00010798
2407778271,1EZR895,8/21/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00010798
2407763309,1CVU378,8/21/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P1002260-S00010796
2407829856,1EZA118,8/22/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P04025-S00010752
2408251514,1ECE505,8/28/2023,fatigue,fatigue,fatigue,verified,drowsiness,verified,(CS) Stevemacs Bulk Fuel Haulage,P04025-S00009434
