Registration,Fleet,Depot
1BMU188,Stevemacs,Kewdale
1CAY022,Stevemacs,Kewdale
1CCL 525,Stevemacs,Kewdale
1CCL525,Stevemacs,Kewdale
1CKC133,Great Southern,Kellerberrin
1CKR 091,Stevemacs,Kewdale
1CKR 093,Stevemacs,Kewdale
1CKR091,Stevemacs,Kewdale
1CKR092,Great Southern,Kalgoorlie
1CKR093,Stevemacs,Kewdale
1CKR094,Stevemacs,Kewdale
1CLR 315,Stevemacs,Kewdale
1CLR315,Stevemacs,Kewdale
1CLS334,Great Southern,Quairading
1CMC714,Great Southern,Katanning
1CTU865,Stevemacs,Kewdale
1CTV349,Stevemacs,Kewdale
1CVU 378,Stevemacs,Kewdale
1CVU039,Great Southern,Kewdale
1CVU378,Stevemacs,Kewdale
1CWB354,Stevemacs,Kewdale
1CWZ133,Great Southern,Wongan Hills
1CYD754,Great Southern,Narrogin
1CYP064,Great Southern,Merredin
1CZD562,Great Southern,Merredin
1DAV322,Great Southern,Narrogin
1DBC759,Great Southern,Narrogin
1DBC760,Great Southern,Quairading
1DBV178,Great Southern,Narrogin
1DCG936,Great Southern,Koorda
1DFI 259,Stevemacs,Kewdale
1DFI259,Stevemacs,Kewdale
1DFO817,Great Southern,Geraldton
1DIU556,Great Southern,Albany
1DIU566,Great Southern,Albany
1DJL008,Great Southern,Albany
1DUK447,Great Southern,Albany
1DVN 300,Stevemacs,Kewdale
1DVN300,Stevemacs,Kewdale
1ECE505,Great Southern,Kewdale
1ECE506,Great Southern,Kewdale
1ECE507,Great Southern,Kewdale
1ECE508,Great Southern,Kewdale
1ECE509,Great Southern,Kewdale
1ECE510,Great Southern,Kewdale
1ECH116,Stevemacs,Kewdale
1EEF849,Stevemacs,Kewdale
1EGV055,Stevemacs,Kewdale
1EHW741,Great Southern,Kewdale
1EJF 777,Great Southern,Merredin
1EJF605,Great Southern,Narrogin
1EJF777,Great Southern,Merredin
1EJJ 290,Stevemacs,Kewdale
1EJJ290,Stevemacs,Kewdale
1EMK901,Stevemacs,Kewdale
1ESW458,Great Southern,Moora
1ETO041,Stevemacs,Kewdale
1EWE819,Stevemacs,Kewdale
1EXM 998,Great Southern,Geraldton
1EXM998,Great Southern,Moora
1EXV 409,Stevemacs,Kewdale
1EXV 411,Stevemacs,Kewdale
1EXV409,Stevemacs,Kewdale
1EXV411,Great Southern,Kalgoorlie
1EZA118,Great Southern,Geraldton
1EZR 895,Stevemacs,Kewdale
1EZR895,Stevemacs,Kewdale
1GAH752,Great Southern,Kewdale
1GAQ 158,Great Southern,Kewdale
1GAQ157,Great Southern,Geraldton
1GCE176,Stevemacs,Kewdale
1GCE-176,Stevemacs,Kewdale
1GDJ946,Stevemacs,Kewdale
1GEZ297,Stevemacs,Kewdale
1GFN 535,Stevemacs,Kewdale
1GFN535,Stevemacs,Kewdale
1GHM234,Stevemacs,Kewdale
1GJQ 464,Great Southern,Merredin
1GJQ464,Great Southern,Merredin
1GKY156,Great Southern,Geraldton
1GLD510,Great Southern,Geraldton
1GMQ 115,Stevemacs,Kewdale
1GMQ115,Stevemacs,Kewdale
1GNQ950,Great Southern,Geraldton
1GNQ-950,Great Southern,Geraldton
1GOB610,Stevemacs,Kewdale
1GOB-610,Stevemacs,Kewdale
1GPC474,Stevemacs,Kewdale
1GQX113,Great Southern,Kalgoorlie
1GRF792,Great Southern,Narrogin
1GSF248,Great Southern,Kalgoorlie
1GSF249,Great Southern,Kalgoorlie
1GTN696,Great Southern,Kalgoorlie
1GTN697,Stevemacs,Kewdale
1HAT142,Stevemacs,Kewdale
1HBY396,Great Southern,Geraldton
1HCR696,Stevemacs,Kewdale
1HCR815,Stevemacs,Kewdale
1HDO841,Great Southern,Geraldton
1HDS340,Great Southern,Kewdale
1HEL581 ,Stevemacs,Kewdale
1HFB140,Great Southern,Koorda
1HHJ911,Stevemacs,Kewdale
1HJQ543,Stevemacs,Kewdale
1HKM376,Great Southern,Geraldton
1HKM377,Great Southern,Geraldton
1HLK502,Great Southern,Geraldton
1HLZ653,Great Southern,Katanning
1HOO182,Stevemacs,Kewdale
1HQC149,Great Southern,Geraldton
1HQG149,Stevemacs,Kewdale
1HQO889,Stevemacs,Kewdale
1HRO909,Stevemacs,Kewdale
1HSH225,Great Southern,Narrogin
1HSO643,Great Southern,Geraldton
1HTP065,Stevemacs,Kewdale
1HUO853,Great Southern,Katanning
1HUT976,Great Southern,Geraldton
1HWJ842,Stevemacs,Kewdale
1HXK305,Great Southern,Kalgoorlie
1HXX550,Great Southern,Narrogin
1HXX551,Great Southern,Albany
1HXX552,Great Southern,Wongan Hills
1HXX939,Great Southern,Geraldton
1HYP768,Great Southern,Kewdale
1IBL610,Great Southern,Geraldton
1ICO466,Great Southern,Albany
1IDB419,Great Southern,Narrogin
1IEL224,Stevemacs,Kewdale
1IEZ880,Great Southern,Kewdale
1IFJ910,Stevemacs,Kewdale
1IHI632,Great Southern,Kalgoorlie
1IHT104,Stevemacs,Kewdale
1IJG953,Great Southern,Kewdale
1IJG954,Great Southern,Kewdale
1ILI310,Stevemacs,Kewdale
1INW936,Stevemacs,Kalgoorlie
CA5143,Stevemacs,Kewdale
CGG5600,Stevemacs,Kewdale
GNG894A,Great Southern,Geraldton
MD8410,Great Southern,Merredin
QUADADDIC,Great Southern,Geraldton
TRIONE,Great Southern,Geraldton
TRIQUAD,Stevemacs,Kewdale
TRIQUAD2,Stevemacs,Kewdale
TRITWO,Great Southern,Geraldton
1IFH926,Great Southern,Narrogin
