Date,Bill of Lading,Location,Customer,Product,Volume,,
1/09/2023,8139648161,AU THDPTY COOGEE ROCKINGHAM,SOUTH32 WORSLEY REFINERY GARAGE,ULSD 10PPM,"23,013",,
1/09/2023,8139648161,AU THDPTY COOGEE ROCKINGHAM,SOUTH32 WORSLEY REFINERY GARAGE,ULSD 10PPM,"1,059",,
1/09/2023,8139648161,AU THDPTY COOGEE ROCKINGHAM,SOUTH32 WORSLEY REFINERY GARAGE,Regular Unleaded Petrol 91 Octane,"2,799",,
1/09/2023,8139648161,AU THDPTY COOGEE ROCKINGHAM,SOUTH32 WORSLEY REFINERY GARAGE,Regular Unleaded Petrol 91 Octane,129,,
21/09/2023,8139917642,AU TERM KEWDALE,BGC PRECAST KWINANA BEACH,ULSD 10PPM,"5,499",,
21/09/2023,8139917642,AU TERM KEWDALE,BGC PRECAST KWINANA BEACH,ULSD 10PPM,67,,
21/09/2023,330618,AU TERM KEWDALE,BGC NAVAL BASE,ULSD 10PPM,"32,103",,
21/09/2023,330618,AU TERM KEWDALE,BGC NAVAL BASE,ULSD 10PPM,379,,
21/09/2023,330621,AU TERM KEWDALE,BGC PRECAST KWINANA BEACH,ULSD 10PPM,"34,779",,
21/09/2023,330621,AU TERM KEWDALE,BGC PRECAST KWINANA BEACH,ULSD 10PPM,421,,
28/09/2023,8140016584,AU TERM KEWDALE,BGC PRECAST KWINANA BEACH,ULSD 10PPM,"38,006",,
28/09/2023,8140016584,AU TERM KEWDALE,BGC PRECAST KWINANA BEACH,ULSD 10PPM,460,,
6/11/2023,JOHN DEREK BLENK,AU TERM KEWDALE,AU AIRPT PERTH,JET A-1,"32,844",,
6/11/2023,JOHN DEREK BLENK,AU TERM KEWDALE,AU AIRPT PERTH,JET A-1,288,,
27/11/2023,8140968263,AU TERM KEWDALE,Jundee Mine – NJE Bulk,JET A-1,"16,711",,
27/11/2023,8140968263,AU TERM KEWDALE,Jundee Mine – NJE Bulk,JET A-1,"3,125",,
18/12/2023,JOHN DEREK BLENK,AU TERM KEWDALE,AU AIRPT PERTH,JET A-1,"32,850",,
18/12/2023,JOHN DEREK BLENK,AU TERM KEWDALE,AU AIRPT PERTH,JET A-1,772,,
19/12/2023,8141134294,AU TERM KEWDALE,AWR FORRESTFIELD T70 CARRIER,BP ULTIMATE DIESEL,"30,901",,
19/12/2023,8141134294,AU TERM KEWDALE,AWR FORRESTFIELD T70 CARRIER,BP ULTIMATE DIESEL,"19,610",,
19/12/2023,8141134294,AU TERM KEWDALE,AWR FORRESTFIELD T70 CARRIER,BP ULTIMATE DIESEL,572,,
19/12/2023,8141134294,AU TERM KEWDALE,AWR FORRESTFIELD T70 CARRIER,BP ULTIMATE DIESEL,363,,
21/12/2023,151468,AU TERM KEWDALE,T68 SELF BUNDED TANK (BELMONT AVE),BP ULTIMATE DIESEL,"37,600",,
21/12/2023,151468,AU TERM KEWDALE,T68 SELF BUNDED TANK (BELMONT AVE),BP ULTIMATE DIESEL,354,,
2/01/2024,8141235348,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"44,162",,
2/01/2024,8141235348,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"47,876",,
2/01/2024,8141235348,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,274,,
2/01/2024,8141235348,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,297,,
2/01/2024,8141269525,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"44,235",,
2/01/2024,8141269525,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,"47,783",,
2/01/2024,8141269525,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,274,,
2/01/2024,8141269525,AU TERM KALGOORLIE,KCGM FIMISTON EX KALGOORLIE,ULSD 10PPM,296,,
2/01/2024,8141227827,AU TERM KEWDALE,TALISON LITHIUM MSA,BP ULTIMATE DIESEL,752,,
2/01/2024,8141227827,AU TERM KEWDALE,TALISON LITHIUM MSA,BP ULTIMATE DIESEL,729,,
2/01/2024,8141243740,AU TERM KEWDALE,TALISON LITHIUM MSA,BP ULTIMATE DIESEL,"38,947",,
2/01/2024,8141243740,AU TERM KEWDALE,TALISON LITHIUM MSA,BP ULTIMATE DIESEL,"37,748",,
2/01/2024,8141243740,AU TERM KEWDALE,TALISON LITHIUM MSA,BP ULTIMATE DIESEL,752,,
2/01/2024,8141243740,AU TERM KEWDALE,TALISON LITHIUM MSA,BP ULTIMATE DIESEL,729,,
2/01/2024,8141255053,AU TERM KEWDALE,SOUTH32 BBM SADDLEBACK FULL,ULSD 10PPM,"42,819",,
2/01/2024,8141255053,AU TERM KEWDALE,SOUTH32 BBM SADDLEBACK FULL,ULSD 10PPM,"34,779",,
2/01/2024,8141255053,AU TERM KEWDALE,SOUTH32 BBM SADDLEBACK FULL,ULSD 10PPM,818,,
2/01/2024,8141255053,AU TERM KEWDALE,SOUTH32 BBM SADDLEBACK FULL,ULSD 10PPM,664,,
2/01/2024,8141255945,AU TERM KEWDALE,SOUTH32 BBM MARRADONG SADDLEBACK,ULSD 10PPM,"37,599",,
2/01/2024,8141255945,AU TERM KEWDALE,SOUTH32 BBM MARRADONG SADDLEBACK,ULSD 10PPM,"43,001",,
2/01/2024,8141255945,AU TERM KEWDALE,SOUTH32 BBM MARRADONG SADDLEBACK,ULSD 10PPM,790,,
2/01/2024,8141255945,AU TERM KEWDALE,SOUTH32 BBM MARRADONG SADDLEBACK,ULSD 10PPM,903,,
2/01/2024,MARK BLACKWOOD,AU TERM KEWDALE,GRUYERE AERODROME,JET A-1,"33,390",,
2/01/2024,MARK BLACKWOOD,AU TERM KEWDALE,GRUYERE AERODROME,JET A-1,"5,509",,
2/01/2024,MARK BLACKWOOD,AU TERM KEWDALE,SKIPPERS AIR BULK DEL THUNDERBOX,JET A-1,"3,051",,
2/01/2024,MARK BLACKWOOD,AU TERM KEWDALE,SKIPPERS AIR BULK DEL THUNDERBOX,JET A-1,"8,382",,
2/01/2024,MARK BLACKWOOD,AU TERM KEWDALE,SKIPPERS AIR BULK DEL THUNDERBOX,JET A-1,344,,
2/01/2024,MARK BLACKWOOD,AU TERM KEWDALE,SKIPPERS AIR BULK DEL THUNDERBOX,JET A-1,946,,
2/01/2024,MARK BLACKWOOD,AU TERM KEWDALE,BHP AIR Bulk DEL Leinster,JET A-1,"8,412",,
2/01/2024,MARK BLACKWOOD,AU TERM KEWDALE,BHP AIR Bulk DEL Leinster,JET A-1,"1,231",,
2/01/2024,MARK BLACKWOOD,AU TERM KEWDALE,BHP AIR Bulk DEL Mt Keith,JET A-1,"13,499",,
2/01/2024,MARK BLACKWOOD,AU TERM KEWDALE,BHP AIR Bulk DEL Mt Keith,JET A-1,"2,230",,
2/01/2024,MARK BLACKWOOD,AU TERM KEWDALE,AU AIRPT LEONORA,JET A-1,"8,370",,
2/01/2024,MARK BLACKWOOD,AU TERM KEWDALE,AU AIRPT LEONORA,JET A-1,"1,203",,
2/01/2024,SHAUN WATERS,AU TERM KEWDALE,BP CARNARVON,PREMIUM 98 ULTIMATE,"3,500",,
2/01/2024,SHAUN WATERS,AU TERM KEWDALE,BP CARNARVON,PREMIUM 98 ULTIMATE,183,,
2/01/2024,SHAUN WATERS,AU TERM KEWDALE,BP CARNARVON,Regular Unleaded Petrol 91 Octane,"7,832",,
2/01/2024,SHAUN WATERS,AU TERM KEWDALE,BP CARNARVON,Regular Unleaded Petrol 91 Octane,409,,
2/01/2024,SHAUN WATERS,AU TERM KEWDALE,BP CARNARVON,ULSD 10PPM,"39,845",,
2/01/2024,SHAUN WATERS,AU TERM KEWDALE,BP CARNARVON,ULSD 10PPM,"15,648",,
2/01/2024,SHAUN WATERS,AU TERM KEWDALE,BP CARNARVON,ULSD 10PPM,"26,355",,
2/01/2024,SHAUN WATERS,AU TERM KEWDALE,BP CARNARVON,ULSD 10PPM,"2,080",,
2/01/2024,SHAUN WATERS,AU TERM KEWDALE,BP CARNARVON,ULSD 10PPM,817,,
2/01/2024,SHAUN WATERS,AU TERM KEWDALE,BP CARNARVON,ULSD 10PPM,"1,376",,
2/01/2024,GRANT ROBINSON,AU TERM KEWDALE,AU AIRPT CARNARVON,JET A-1,"35,111",,
2/01/2024,GRANT ROBINSON,AU TERM KEWDALE,AU AIRPT CARNARVON,JET A-1,"32,199",,
2/01/2024,GRANT ROBINSON,AU TERM KEWDALE,AU AIRPT CARNARVON,JET A-1,"2,879",,
2/01/2024,GRANT ROBINSON,AU TERM KEWDALE,AU AIRPT CARNARVON,JET A-1,"2,640",,
2/01/2024,8141286771,AU TERM KEWDALE,LINFOX - KEWDALE (DEL),ULSD 10PPM,"7,495",,
2/01/2024,8141286771,AU TERM KEWDALE,LINFOX - KEWDALE (DEL),ULSD 10PPM,66,,
2/01/2024,8141279378,AU TERM KEWDALE,SOUTH32 BBM SADDLEBACK FULL,ULSD 10PPM,"42,946",,
2/01/2024,8141279378,AU TERM KEWDALE,SOUTH32 BBM SADDLEBACK FULL,ULSD 10PPM,"38,048",,
2/01/2024,8141279378,AU TERM KEWDALE,SOUTH32 BBM SADDLEBACK FULL,ULSD 10PPM,820,,
2/01/2024,8141279378,AU TERM KEWDALE,SOUTH32 BBM SADDLEBACK FULL,ULSD 10PPM,727,,
2/01/2024,8141288161,AU TERM KEWDALE,AWR - PICTON TRIP SERVICE - A25718,BP ULTIMATE DIESEL,"37,595",,
